fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fight_url
7764,3882,2664.0,0,104,32,103,31,1.0,0.0,0,0,,http://ufcstats.com/fight-details/314aea77cd24210f
7763,3882,431.0,0,162,45,162,45,2.0,0.0,0,0,,http://ufcstats.com/fight-details/314aea77cd24210f
7762,3881,2255.0,0,157,84,102,39,4.0,4.0,0,0,,http://ufcstats.com/fight-details/71854cfe738d6ee1
7761,3881,3580.0,0,127,66,115,56,0.0,0.0,0,0,,http://ufcstats.com/fight-details/71854cfe738d6ee1
7760,3880,3653.0,0,136,40,130,34,1.0,0.0,1,0,,http://ufcstats.com/fight-details/64bc223daa594bcc
7759,3880,347.0,1,122,73,87,39,1.0,0.0,0,0,,http://ufcstats.com/fight-details/64bc223daa594bcc
7758,3879,201.0,0,106,33,88,18,8.0,2.0,1,0,,http://ufcstats.com/fight-details/2c0a58ef0324e18b
7757,3879,1712.0,0,186,105,155,74,3.0,1.0,0,0,,http://ufcstats.com/fight-details/2c0a58ef0324e18b
7756,3878,1483.0,1,262,112,255,105,1.0,0.0,0,0,,http://ufcstats.com/fight-details/291d91378a96d1e8
7755,3878,2570.0,0,107,22,107,22,5.0,1.0,0,0,,http://ufcstats.com/fight-details/291d91378a96d1e8
7754,3877,2512.0,0,111,58,100,47,0.0,0.0,0,1,,http://ufcstats.com/fight-details/4f60a7e7b848bc6d
7753,3877,2198.0,0,208,80,185,59,13.0,4.0,4,0,,http://ufcstats.com/fight-details/4f60a7e7b848bc6d
7752,3876,263.0,1,87,46,72,36,3.0,1.0,2,0,,http://ufcstats.com/fight-details/2e209dc450b7ebe3
7751,3876,1469.0,0,137,66,107,46,1.0,0.0,0,0,,http://ufcstats.com/fight-details/2e209dc450b7ebe3
7750,3875,13.0,0,128,33,124,29,6.0,1.0,0,0,,http://ufcstats.com/fight-details/0da0dc2c7eb29f58
7749,3875,2103.0,2,126,70,109,56,1.0,1.0,1,0,,http://ufcstats.com/fight-details/0da0dc2c7eb29f58
7748,3874,3891.0,0,164,129,116,86,5.0,5.0,1,0,,http://ufcstats.com/fight-details/106088694fa0c682
7747,3874,1457.0,0,23,12,12,3,0.0,0.0,0,0,,http://ufcstats.com/fight-details/106088694fa0c682
7746,3873,4021.0,1,80,42,79,41,0.0,0.0,0,0,,http://ufcstats.com/fight-details/ac656cebef8cf0a4
7745,3873,1615.0,0,74,18,74,18,2.0,1.0,0,0,,http://ufcstats.com/fight-details/ac656cebef8cf0a4
7744,3872,2905.0,0,92,43,80,34,6.0,6.0,1,0,,http://ufcstats.com/fight-details/4c05732d411d6412
7743,3872,3521.0,0,95,46,68,22,1.0,0.0,0,0,,http://ufcstats.com/fight-details/4c05732d411d6412
7742,3871,2060.0,0,14,4,14,4,8.0,1.0,1,0,,http://ufcstats.com/fight-details/3e1bd51261cb61df
7741,3871,2322.0,0,143,93,83,42,2.0,1.0,0,1,,http://ufcstats.com/fight-details/3e1bd51261cb61df
