fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
2681,keith,hackney,The Giant Killer,180.34,200.0,182.88,sideways,1900-01-01,2,2,0,0.0,http://ufcstats.com/fighter-details/bf12aca029bfcc47
2680,jake,hadley,White Kong,170.18,125.0,177.8,southpaw,1996-08-03,10,2,0,0.0,http://ufcstats.com/fighter-details/60a42bf82447c919
2679,steve,hadsel,Not Available,172.72,170.0,182.88,not available,1900-01-01,3,0,0,0.0,http://ufcstats.com/fighter-details/99793cf88c5adeee
2678,damir,hadzovic,The Bosnian Bomber,175.26,155.0,177.8,orthodox,1986-08-08,14,7,0,0.0,http://ufcstats.com/fighter-details/38c626ca912c7bac
2677,bassil,hafez,The Habibi,180.34,170.0,182.88,orthodox,1992-01-31,8,4,1,0.0,http://ufcstats.com/fighter-details/f4d92416da98804b
2676,tim,hague,The Trashing Machine,193.04,260.0,193.04,orthodox,1983-05-09,21,13,0,0.0,http://ufcstats.com/fighter-details/219a254e15d60135
2675,yazan,hajeh,Yazzle Dazzle,175.26,145.0,182.88,orthodox,1992-09-04,6,1,0,0.0,http://ufcstats.com/fighter-details/4955c524c2a71469
2674,stoney,hale,The Skuller,182.88,170.0,182.88,not available,1979-10-18,5,3,0,0.0,http://ufcstats.com/fighter-details/206a7d47eb62170e
2673,kevin,haley,The North Woods Nightmare,187.96,205.0,182.88,not available,1900-01-01,6,4,0,0.0,http://ufcstats.com/fighter-details/439d4bbefd4e6940
2672,mark,hall,Not Available,182.88,190.0,182.88,orthodox,1900-01-01,5,6,0,0.0,http://ufcstats.com/fighter-details/18524b46c570730b
2671,uriah,hall,Prime Time,182.88,185.0,200.66,orthodox,1984-07-31,18,11,0,0.0,http://ufcstats.com/fighter-details/65578a75fa7900e3
2670,ryan,hall,The Wizard,177.8,145.0,177.8,southpaw,1985-02-22,9,2,0,0.0,http://ufcstats.com/fighter-details/8866c6f509c19089
2669,dennis,hallman,Superman,175.26,155.0,182.88,orthodox,1975-12-02,53,20,2,1.0,http://ufcstats.com/fighter-details/8a8a84b743ae7699
2668,piotr,hallmann,Pletwal,175.26,155.0,180.34,orthodox,1987-08-25,18,6,0,0.0,http://ufcstats.com/fighter-details/a3be148af5c7b088
2667,tony,halme,Not Available,190.5,300.0,182.88,orthodox,1963-01-06,0,4,0,0.0,http://ufcstats.com/fighter-details/bad28b7b34f334de
2666,brandon,halsey,Bull,182.88,185.0,182.88,not available,1986-09-16,9,3,0,0.0,http://ufcstats.com/fighter-details/e763679f15326ae1
2665,john,halverson,The Hurricane,175.26,155.0,182.88,southpaw,1972-09-08,16,8,0,1.0,http://ufcstats.com/fighter-details/88c8f47241d90040
2664,seo,hee ham,Not Available,157.48000000000002,115.0,157.48,southpaw,1987-03-08,17,8,0,0.0,http://ufcstats.com/fighter-details/165c244bcca3ed26
2663,frank,hamaker,Not Available,177.8,170.0,182.88,not available,1900-01-01,1,0,0,0.0,http://ufcstats.com/fighter-details/c3c23c99477c041b
2662,kazuhiro,hamanaka,Not Available,182.88,185.0,182.88,southpaw,1978-10-24,5,7,1,0.0,http://ufcstats.com/fighter-details/1b4d6971bb18b82c
2661,rami,hamed,Not Available,177.8,170.0,182.88,not available,1991-04-25,12,3,0,0.0,http://ufcstats.com/fighter-details/a59017211b775b5d
2660,matt,hamill,The Hammer,185.42,205.0,193.04,orthodox,1976-10-05,12,8,0,0.0,http://ufcstats.com/fighter-details/98b80a717b9bda17
2659,jeremy,hamilton,Hawk,177.8,185.0,182.88,not available,1984-11-14,9,2,0,0.0,http://ufcstats.com/fighter-details/7ada6ea792a34424
2658,anthony,hamilton,Freight Train,195.58,260.0,193.04,orthodox,1980-04-14,15,9,0,0.0,http://ufcstats.com/fighter-details/c727c7d31c50c4cf
2657,cj,hamilton,The Autobot,170.18,125.0,172.72,switch,1986-10-07,11,4,0,0.0,http://ufcstats.com/fighter-details/7da5839b223f3728
2656,jared,hamman,The Messenger,190.5,185.0,190.5,orthodox,1982-03-07,14,6,0,0.0,http://ufcstats.com/fighter-details/23459ee7e373b98f
2655,james,hammortree,The Sledge,190.5,185.0,182.88,orthodox,1983-11-29,6,3,0,0.0,http://ufcstats.com/fighter-details/1f77fce698e80488
2654,dean,hancock,The Hammer,177.8,155.0,182.88,not available,1900-01-01,2,1,0,0.0,http://ufcstats.com/fighter-details/24e9d6b0a24cff9d
2653,chad,hanekom,Superman,193.04,185.0,187.96,orthodox,1990-04-20,9,3,0,0.0,http://ufcstats.com/fighter-details/98533a2738124a0d
2652,joachim,hansen,Hellboy,170.18,150.0,182.88,southpaw,1979-05-26,23,14,1,0.0,http://ufcstats.com/fighter-details/86e388ed20761ad9
2651,kay,hansen,Not Available,157.48000000000002,115.0,160.02,orthodox,1999-08-14,7,6,0,0.0,http://ufcstats.com/fighter-details/4100c7a09497ad41
2650,nasrat,haqparast,Not Available,177.8,155.0,182.88,southpaw,1995-08-22,15,5,0,0.0,http://ufcstats.com/fighter-details/b7b84ccd221be298
2649,shin,haraguchi,Not Available,167.64,155.0,172.72,switch,1998-11-27,7,0,0,1.0,http://ufcstats.com/fighter-details/05b17ae24e6bba81
2648,janay,harding,Hollowpoint,177.8,135.0,182.88,not available,1900-01-01,2,3,0,0.0,http://ufcstats.com/fighter-details/b9c3ee342eb72100
2647,antoni,hardonk,Not Available,193.04,245.0,198.12,orthodox,1976-02-05,8,6,0,0.0,http://ufcstats.com/fighter-details/69b69c0178c4004d
2646,george,hardwick,King,177.8,155.0,182.88,orthodox,1996-12-06,12,2,0,0.0,http://ufcstats.com/fighter-details/f55a6807b6bb853d
2645,dan,hardy,The Outlaw,182.88,170.0,187.96,orthodox,1982-05-17,25,10,0,1.0,http://ufcstats.com/fighter-details/473ce3aa581251a2
2644,veronica,hardy,Not Available,162.56,125.0,162.56,southpaw,1995-10-30,7,4,1,0.0,http://ufcstats.com/fighter-details/4798e823ada58fe9
